income;sex;mar-stat;age;edu;occup;yrs-BA;mar-dlinc;num-hsld;children;hsld-stat;typ-home;ethnic;lang
$75,000 or more;Female;Single, never married;14 thru 17;Grade 8 or less;Unemployed;More than ten years;Not Married;Five;Two;Live with Parents/Family;House;American Indian;English
Less than $10,000;Male;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;One to three years;Not Married;Seven;Five;Live with Parents/Family;Apartment;Asian;Other
Less than $10,000;Male;Single, never married;18 thru 24;NA;Student, HS or College;One to three years;Not Married;Four;None;NA;House;White;English
$10,000 to $14,999;Male;Single, never married;18 thru 24;Graduated high school;Military;Less than one year;Not Married;One;None;NA;Other;White;English
Less than $10,000;Male;Single, never married;18 thru 24;Graduated high school;Military;One to three years;Not Married;One;None;NA;Other;White;English
$10,000 to $14,999;Male;Single, never married;18 thru 24;Graduated high school;Military;One to three years;Not Married;Five;Two;Live with Parents/Family;Apartment;Black;English
$25,000 to $29,999;Female;Married;18 thru 24;Graduated high school;Clerical/Service Worker;Less than one year;Yes;Two;None;Rent;Apartment;White;English
Less than $10,000;Male;Single, never married;18 thru 24;Graduated high school;Military;Less than one year;Not Married;One;None;Live with Parents/Family;House;White;English
$20,000 to $24,999;Female;Single, never married;18 thru 24;1 to 3 years of college;Sales Worker;Seven to ten years;Not Married;Three;None;Own;Other;Asian;English
$10,000 to $14,999;Female;Living together, not married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;Three;None;Rent;Apartment;Black;English
$50,000 to $74,999;Female;Married;25 thru 34;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Two;None;Own;House;White;English
$40,000 to $49,999;Female;Married;25 thru 34;1 to 3 years of college;Homemaker;NA;No;Four;Two;Own;House;White;English
$30,000 to $39,999;Female;Divorced or separated;25 thru 34;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;Two;None;Own;Condominium;Black;English
$20,000 to $24,999;Female;Married;25 thru 34;1 to 3 years of college;Student, HS or College;Four to six years;Yes;Five;Three;Rent;Apartment;Black;English
$20,000 to $24,999;Female;Married;25 thru 34;1 to 3 years of college;Clerical/Service Worker;More than ten years;Yes;Three;One;Rent;House;White;English
Less than $10,000;Male;Single, never married;25 thru 34;College graduate;Unemployed;More than ten years;Not Married;Two;None;Own;House;Black;English
$50,000 to $74,999;Male;Married;25 thru 34;College graduate;Clerical/Service Worker;More than ten years;Yes;Two;None;Own;House;Asian;English
$40,000 to $49,999;Male;Single, never married;25 thru 34;Grad Study;Professional/Managerial;Four to six years;Not Married;One;None;Rent;Condominium;White;English
$15,000 to $19,999;Female;Married;25 thru 34;Graduated high school;Professional/Managerial;One to three years;No;Five;Three;Rent;Other;White;English
$75,000 or more;Female;Living together, not married;25 thru 34;College graduate;Professional/Managerial;Seven to ten years;Yes;Two;None;Own;Condominium;White;English
$50,000 to $74,999;Female;Married;25 thru 34;College graduate;Professional/Managerial;Seven to ten years;Yes;NA;None;Own;House;White;English
$30,000 to $39,999;Male;Single, never married;25 thru 34;Graduated high school;Clerical/Service Worker;One to three years;Not Married;One;None;Own;House;White;English
$15,000 to $19,999;Female;Single, never married;25 thru 34;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;NA;None;Rent;NA;White;English
$30,000 to $39,999;Male;Married;25 thru 34;College graduate;Professional/Managerial;Seven to ten years;Yes;Two;None;Rent;Apartment;White;English
$20,000 to $24,999;Male;Divorced or separated;25 thru 34;Graduated high school;Sales Worker;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$30,000 to $39,999;Female;Married;25 thru 34;Grades 9 to 11;Homemaker;More than ten years;Yes;Four;Two;Own;House;White;English
Less than $10,000;Male;Single, never married;25 thru 34;Graduated high school;Unemployed;More than ten years;Not Married;One;None;NA;House;White;English
$15,000 to $19,999;Female;Divorced or separated;25 thru 34;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;Three;Two;Own;House;Black;English
$20,000 to $24,999;Female;Widowed;35 thru 44;Grad Study;Clerical/Service Worker;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$50,000 to $74,999;Female;Married;35 thru 44;1 to 3 years of college;Homemaker;More than ten years;No;Four;Two;Own;House;White;NA
$30,000 to $39,999;Female;Married;35 thru 44;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Six;Four;Rent;House;Other;English
$20,000 to $24,999;Male;Divorced or separated;35 thru 44;Graduated high school;Military;One to three years;Not Married;One;None;Rent;Apartment;White;English
$75,000 or more;Female;Married;35 thru 44;Grad Study;Professional/Managerial;More than ten years;Yes;Three;One;Own;House;White;English
$40,000 to $49,999;Female;Married;35 thru 44;Graduated high school;Clerical/Service Worker;More than ten years;Yes;Two;None;Own;House;White;NA
$40,000 to $49,999;Female;Single, never married;35 thru 44;Grad Study;Professional/Managerial;More than ten years;Not Married;Three;None;Own;House;White;English
$10,000 to $14,999;Female;Divorced or separated;35 thru 44;1 to 3 years of college;Unemployed;NA;Not Married;One;None;Own;House;White;NA
$50,000 to $74,999;Female;Divorced or separated;35 thru 44;Graduated high school;Professional/Managerial;Four to six years;Not Married;One;None;Rent;House;White;English
Less than $10,000;Female;NA;35 thru 44;Grades 9 to 11;Sales Worker;More than ten years;No;Three;Two;Rent;Apartment;White;English
$30,000 to $39,999;Female;Married;35 thru 44;Grad Study;Homemaker;More than ten years;No;Four;Two;Own;House;White;English
$75,000 or more;Male;Living together, not married;35 thru 44;Grad Study;Professional/Managerial;NA;Not Married;Two;None;Own;House;White;English
$50,000 to $74,999;Male;Married;35 thru 44;Grad Study;Professional/Managerial;One to three years;Yes;Four;Two;Rent;Condominium;White;English
$50,000 to $74,999;Male;Married;35 thru 44;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Three;One;Rent;House;Other;English
$75,000 or more;Female;Married;35 thru 44;College graduate;Sales Worker;More than ten years;Yes;Three;One;Own;House;White;English
$50,000 to $74,999;Female;Married;35 thru 44;1 to 3 years of college;Homemaker;Four to six years;No;Five;Two;Rent;House;White;Spanish
$50,000 to $74,999;Female;Married;45 thru 54;Grad Study;Professional/Managerial;More than ten years;Yes;Two;None;Own;House;White;English
$30,000 to $39,999;Female;Divorced or separated;45 thru 54;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;One;None;Rent;Other;White;English
$30,000 to $39,999;Female;Single, never married;45 thru 54;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;Two;None;Live with Parents/Family;Other;White;English
$50,000 to $74,999;Female;Married;45 thru 54;College graduate;Professional/Managerial;NA;Yes;Two;None;Own;House;White;English
$25,000 to $29,999;Female;Living together, not married;45 thru 54;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;Two;None;Rent;Other;White;English
$30,000 to $39,999;Female;Living together, not married;45 thru 54;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;Two;None;Own;House;White;English
$20,000 to $24,999;Female;Divorced or separated;45 thru 54;1 to 3 years of college;Clerical/Service Worker;One to three years;Not Married;One;None;Rent;Apartment;White;English
$30,000 to $39,999;Female;Married;55 thru 64;Graduated high school;Homemaker;More than ten years;No;Seven;Two;Own;House;White;English
$10,000 to $14,999;Female;Divorced or separated;55 thru 64;1 to 3 years of college;Factory Worker/Laborer/Driver;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$20,000 to $24,999;Female;Widowed;55 thru 64;1 to 3 years of college;Retired;More than ten years;Not Married;One;None;Own;NA;White;English
$10,000 to $14,999;Female;Widowed;65 and Over;College graduate;Clerical/Service Worker;More than ten years;Not Married;One;None;Own;Condominium;White;English
Less than $10,000;Male;Married;65 and Over;Graduated high school;Clerical/Service Worker;Seven to ten years;No;Two;None;Rent;Apartment;Asian;Other
$50,000 to $74,999;Female;Widowed;65 and Over;Grad Study;Retired;Seven to ten years;Not Married;One;None;Own;Condominium;White;English
$40,000 to $49,999;Female;Divorced or separated;25 thru 34;Graduated high school;Homemaker;Seven to ten years;Not Married;NA;None;Live with Parents/Family;House;White;English
$75,000 or more;Female;Married;45 thru 54;College graduate;Professional/Managerial;More than ten years;Yes;One;None;Own;House;White;English
$10,000 to $14,999;Female;Single, never married;14 thru 17;Grade 8 or less;Sales Worker;NA;Not Married;Five;Two;Live with Parents/Family;House;Black;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;Four to six years;Not Married;Four;Two;Live with Parents/Family;House;Black;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;Seven to ten years;Not Married;Three;One;Live with Parents/Family;Other;White;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;NA;None;Live with Parents/Family;House;White;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Military;One to three years;Not Married;One;None;Own;Other;White;English
Less than $10,000;Male;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;More than ten years;Not Married;Six;None;Live with Parents/Family;NA;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;Four to six years;Not Married;Two;One;Live with Parents/Family;Apartment;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;NA;None;Live with Parents/Family;NA;White;English
$10,000 to $14,999;Female;Single, never married;14 thru 17;Grades 9 to 11;Factory Worker/Laborer/Driver;Four to six years;Not Married;Five;Two;Live with Parents/Family;Apartment;Asian;English
Less than $10,000;Male;Single, never married;18 thru 24;NA;Student, HS or College;More than ten years;Not Married;Seven;Three;Live with Parents/Family;House;White;English
$10,000 to $14,999;Male;Single, never married;18 thru 24;1 to 3 years of college;Military;Less than one year;Not Married;NA;None;NA;Other;White;English
$15,000 to $19,999;Female;Single, never married;18 thru 24;Grades 9 to 11;Student, HS or College;Seven to ten years;Not Married;Two;None;Rent;Apartment;Pacific Islander;English
$15,000 to $19,999;Female;Single, never married;25 thru 34;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;Two;One;Rent;House;Black;English
$10,000 to $14,999;Male;Single, never married;35 thru 44;1 to 3 years of college;Sales Worker;NA;Not Married;Two;None;Rent;Apartment;White;English
$20,000 to $24,999;Male;Married;35 thru 44;Grades 9 to 11;Factory Worker/Laborer/Driver;More than ten years;Not Married;NA;None;NA;NA;Hispanic;Spanish
$40,000 to $49,999;Male;Divorced or separated;45 thru 54;Grad Study;Professional/Managerial;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$50,000 to $74,999;Female;Married;45 thru 54;Grad Study;Professional/Managerial;One to three years;Yes;Two;None;Own;Condominium;American Indian;English
$50,000 to $74,999;Female;Married;45 thru 54;Graduated high school;Retired;More than ten years;No;Three;None;Own;House;White;English
$40,000 to $49,999;Female;Married;45 thru 54;Grades 9 to 11;Clerical/Service Worker;More than ten years;Yes;Two;None;Own;House;White;English
$25,000 to $29,999;Female;Divorced or separated;45 thru 54;College graduate;Professional/Managerial;One to three years;Not Married;One;None;Rent;Apartment;White;English
$30,000 to $39,999;Female;Married;55 thru 64;Graduated high school;Retired;More than ten years;No;Two;None;Own;Condominium;White;English
$10,000 to $14,999;Female;Widowed;65 and Over;Graduated high school;Retired;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$30,000 to $39,999;Female;Married;65 and Over;1 to 3 years of college;Retired;NA;No;Two;None;NA;House;White;Other
Less than $10,000;Male;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;Four;One;Live with Parents/Family;House;White;English
$30,000 to $39,999;Female;Single, never married;35 thru 44;Grad Study;Professional/Managerial;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$20,000 to $24,999;Female;Divorced or separated;35 thru 44;Graduated high school;Clerical/Service Worker;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$75,000 or more;Female;Married;45 thru 54;College graduate;Professional/Managerial;More than ten years;Yes;Two;None;Own;Condominium;White;English
